Título,Preço,Ano,Quilometragem,Combustível,Caixa,Segmento,Cilindrada,Potência,URL
Ford Puma 1.0 EcoBoost Hybrid TITANIUM,19900 EUR,2020,94335 km,Gasolina,Automática,N/A,999 cm3,125 cv,https://www.standvirtual.com/carros/anuncio/ford-puma-ver-1-0-ecoboost-hybrid-titanium-ID8PO1HT.html
Ford Puma 1.0 EcoBoost MHEV ST-Line X,18500 EUR,2020,86000 km,Gasolina,Automática,SUV,998 cm3,155 cv,https://www.standvirtual.com/carros/anuncio/ford-puma-ver-1-0-ecoboost-mhev-st-line-x-ID8PMWkj.html
Ford Puma 1.0 EcoBoost MHEV ST-Line,18490 EUR,2020,22000 km,Gasolina,Automática,SUV,998 cm3,125 cv,https://www.standvirtual.com/carros/anuncio/ford-puma-ver-1-0-ecoboost-mhev-st-line-ID8POJU6.html
Ford Puma 1.0 EcoBoost MHEV ST-Line Design,17750 EUR,2020,84000 km,Gasolina,Automática,N/A,998 cm3,125 cv,https://www.standvirtual.com/carros/anuncio/ford-puma-ver-1-0-ecoboost-mhev-st-line-design-ID8PR7aW.html
Ford Puma 1.0 EcoBoost MHEV ST-Line,20990 EUR,2020,28155 km,Gasolina,Automática,SUV,998 cm3,155 cv,https://www.standvirtual.com/carros/anuncio/ford-puma-ver-1-0-ecoboost-mhev-st-line-ID8PPQ48.html
Ford Puma 1.0 EcoBoost MHEV ST-Line X,21800 EUR,2020,50117 km,Gasolina,Automática,SUV,998 cm3,155 cv,https://www.standvirtual.com/carros/anuncio/ford-puma-ver-1-0-ecoboost-mhev-st-line-x-ID8PHwa0.html
Ford Puma 1.0 EcoBoost MHEV Titanium,16950 EUR,2020,98100 km,Gasolina,Automática,N/A,998 cm3,125 cv,https://www.standvirtual.com/carros/anuncio/ford-puma-ver-1-0-ecoboost-mhev-titanium-ID8PRD8Z.html
Ford Puma 1.0 EcoBoost MHEV ST-Line,18200 EUR,2020,76137 km,Gasolina,Automática,SUV,998 cm3,125 cv,https://www.standvirtual.com/carros/anuncio/ford-puma-ver-1-0-ecoboost-mhev-st-line-ID8PHXrl.html
Ford Puma 1.0 EcoBoost MHEV ST-Line,17950 EUR,2020,21543 km,Gasolina,Automática,N/A,998 cm3,125 cv,https://www.standvirtual.com/carros/anuncio/ford-puma-ver-1-0-ecoboost-mhev-st-line-ID8PRxz6.html
Ford Puma 1.0 EcoBoost MHEV ST-Line,18990 EUR,2020,58745 km,Gasolina,Automática,N/A,998 cm3,125 cv,https://www.standvirtual.com/carros/anuncio/ford-puma-ver-1-0-ecoboost-mhev-st-line-ID8PNGpL.html
Ford Puma 1.0 EcoBoost MHEV ST-Line X,21900 EUR,2020,72000 km,Gasolina,Automática,SUV,998 cm3,155 cv,https://www.standvirtual.com/carros/anuncio/ford-puma-ver-1-0-ecoboost-mhev-st-line-x-ID8PNCnb.html
Ford Puma 1.0 EcoBoost ST-Line X Aut.,21850 EUR,2020,78000 km,Gasolina,Automática,SUV,998 cm3,125 cv,https://www.standvirtual.com/carros/anuncio/ford-puma-ver-1-0-ecoboost-st-line-x-aut-ID8PLuO4.html
